ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Family_Size,Total_Children,Total_Spending,Total_Purchases,Total_Campaigns_Accepted,Customer_Tenure_Days,Cluster,PCA1,PCA2
1010,1974,Graduation,Widow,57557.87,0,0,2014-01-09,24,383,22,128,25,33,14,2,1,2,5,2,0,0,1,0,0,0,0,41,1,0,605,10,1,322,3,0.725496453521644,-1.237642206271421
1011,2000,Graduation,Together,24112.9,1,1,2014-10-07,51,0,1,47,9,1,0,1,2,1,3,5,0,0,0,0,0,0,0,15,4,2,58,7,0,51,2,-1.56051784355934,-1.2767941556056015
1012,1981,Master,Divorced,37248.42,0,0,2013-08-04,62,57,0,42,24,40,18,2,10,1,3,5,0,0,0,0,0,0,0,34,1,0,181,16,0,480,1,-1.1987577967846188,1.147842934466266
1013,1954,Master,Married,81763.63,1,0,2012-07-24,1,987,86,504,97,71,164,2,6,6,8,4,1,0,1,0,0,0,1,61,3,1,1909,22,3,856,0,3.697595968812698,1.0470905381436433
1014,1985,Graduation,Divorced,38703.21,1,1,2013-05-03,0,141,8,108,5,12,36,5,8,0,1,7,0,0,0,0,0,0,0,30,3,2,310,14,0,573,1,-1.1766758418175878,2.131545343483054
1015,1987,Graduation,Divorced,29487.22,1,1,2014-01-14,21,47,0,52,13,9,16,1,0,0,1,7,0,0,0,0,0,0,0,28,3,2,137,2,0,317,2,-1.6959210723298845,-1.252087227519881
1016,1964,Basic,Married,78921.92,0,1,2013-10-19,13,406,47,434,87,55,83,1,7,4,8,5,1,0,1,0,1,0,0,51,3,1,1112,20,3,404,0,2.3484755782171876,0.9043261125077621
1017,1996,Master,Together,26622.33,1,0,2012-09-03,75,80,20,67,0,19,22,6,10,2,2,8,0,0,0,0,0,0,0,19,3,1,208,20,0,815,1,-2.249322917602704,2.585803369278478
1018,1960,Graduation,Married,16830.4,0,0,2014-09-14,21,71,10,19,22,4,5,2,2,0,5,9,0,0,0,0,0,0,0,55,2,0,131,9,0,74,2,-1.7567596915529506,-0.2960678378734225
1019,1955,Master,Together,69570.67,0,1,2014-07-20,20,392,46,548,89,82,133,0,7,9,4,0,1,0,1,1,0,0,1,60,3,1,1290,20,4,130,0,3.302800546335188,-0.02583451555862288
1020,1960,PhD,Married,57113.85,0,2,2014-04-15,41,244,22,149,56,32,65,5,4,2,3,2,0,0,0,1,0,0,1,55,4,2,568,14,2,226,3,0.03148052436107859,0.26289330665133376
1021,1988,PhD,Widow,33893.52,1,0,2013-03-24,97,22,2,52,9,4,33,2,2,0,3,6,0,0,0,0,0,0,0,27,2,1,122,7,0,613,2,-2.3016316234105934,-1.064410072209814
1022,1993,Master,Single,47737.45,0,0,2014-01-19,64,119,6,44,13,25,46,1,6,1,7,4,0,0,1,0,0,0,0,22,1,0,253,15,1,312,3,-0.33055511879870003,-0.3020198280608709
1023,1970,Master,Together,43746.83,0,0,2014-01-26,29,352,17,112,44,56,55,1,1,3,9,3,1,0,1,0,0,0,1,45,2,0,636,14,3,305,3,1.0185385143674983,-1.495465155395435
1024,1955,Graduation,Single,27613.52,0,0,2014-06-22,66,28,0,1,19,4,36,1,0,1,2,2,0,0,0,0,0,0,0,60,1,0,88,4,0,158,2,-1.4434587801566368,-2.32751796471163
1025,1971,Graduation,Single,69849.41,0,0,2013-02-19,21,421,52,428,33,38,107,0,3,4,5,4,0,1,0,1,0,1,1,44,1,0,1079,12,3,646,3,1.7590687025056215,-0.6526350887528446
1026,1962,Basic,Divorced,48243.7,1,1,2012-07-25,42,354,35,125,7,27,32,3,5,1,7,6,0,0,1,0,0,0,0,53,3,2,580,16,1,855,3,-0.15720198038939223,0.4793228476738773
1027,1959,Master,Married,57265.73,0,1,2013-03-16,5,210,24,34,62,25,83,0,3,2,9,7,0,0,0,1,0,0,0,56,3,1,438,14,1,621,3,0.8696255524341572,-0.4115083338488851
1028,1952,Master,Single,66080.25,0,2,2013-08-27,6,344,44,207,47,17,64,2,4,2,10,4,0,0,0,0,0,0,0,63,3,2,723,18,0,457,3,1.6956523450685088,-0.005242814345502618
1029,1990,Graduation,Together,30466.23,1,0,2013-12-30,28,84,18,86,23,42,16,5,4,1,5,9,0,0,0,0,0,0,1,25,3,1,269,15,1,332,1,-1.4674076563893246,1.1470914403496495
1030,1958,PhD,Married,48218.2,0,0,2014-03-12,42,720,102,548,141,82,120,0,8,7,8,2,0,1,0,0,0,0,1,57,2,0,1713,23,2,260,0,2.9065783649605095,0.21600420250072647
1031,1981,2n Cycle,Married,44379.58,1,0,2014-07-26,15,114,0,30,0,38,42,9,11,3,5,11,0,0,0,0,0,0,0,34,3,1,224,28,0,124,1,-1.1308120458155062,4.610447621456319
1032,1975,PhD,Married,50699.87,1,1,2013-02-23,0,157,26,11,7,11,36,3,7,1,0,8,0,0,0,0,0,0,0,40,4,2,248,11,0,642,1,-0.9442966550797061,1.6323100055522648
1033,1991,Graduation,Together,35429.57,1,0,2012-06-04,57,167,11,9,24,13,33,5,7,1,5,6,0,0,0,0,0,0,0,24,3,1,257,18,0,906,1,-1.2987709300691488,1.3164711234408424
1034,1988,Graduation,Divorced,46895.11,2,1,2014-06-07,46,45,6,4,13,33,46,5,4,1,4,6,0,0,0,0,0,0,0,27,4,3,147,14,0,173,1,-1.2223253654172204,0.6776584294890596
1035,1978,2n Cycle,Widow,32837.16,1,1,2012-08-08,47,15,14,38,5,0,2,0,3,0,3,6,1,0,0,0,0,0,0,37,3,2,74,6,1,841,2,-1.5016586630453763,-1.0565397832150312
1036,1974,Master,Single,58328.02,1,2,2012-07-07,40,347,43,50,80,18,47,0,1,1,5,6,0,0,0,0,0,0,0,41,4,3,585,7,0,873,3,-0.02483349893586799,-1.244438521944672
1037,1981,Master,Single,48919.14,2,1,2012-12-13,52,92,21,169,30,0,10,7,7,3,3,6,0,0,1,1,0,0,0,34,4,3,322,20,2,714,1,-0.9738062887768717,2.0881372775612923
1038,1962,2n Cycle,Single,66874.01,1,1,2012-10-31,36,377,49,136,24,10,52,0,1,4,6,3,0,0,0,0,0,0,1,53,3,2,648,11,1,757,3,1.2820115075828729,-1.5414098903433084
1039,1981,PhD,Married,28548.56,2,1,2013-01-05,30,62,11,15,16,21,26,1,4,2,1,8,0,0,0,0,0,0,1,34,5,3,151,8,1,691,2,-1.5231183651054823,-0.03049212254246295
1040,1985,Graduation,Together,29733.74,0,0,2014-07-24,22,115,16,124,10,15,20,6,3,1,3,7,0,0,0,0,0,0,1,30,2,0,300,13,1,126,1,-1.4638249533506806,0.8890738439168167
1041,1970,Basic,Divorced,56328.56,0,1,2014-03-30,42,146,48,95,16,18,8,7,10,1,1,6,0,0,1,0,0,0,0,45,2,1,331,19,1,242,1,-1.180675048835784,2.9543367128024336
1042,1953,PhD,Married,38326.02,1,1,2014-07-22,0,315,10,122,95,20,39,4,2,0,10,4,0,0,0,0,0,0,0,62,4,2,601,16,0,128,3,0.544751485681438,-0.2721561889277155
1043,1981,2n Cycle,Together,40423.65,1,0,2012-05-26,51,68,14,0,14,42,32,4,5,1,2,10,1,0,0,0,0,0,0,34,3,1,170,12,1,915,1,-2.0705075349506408,1.2753944767790255
1044,1991,2n Cycle,Widow,40013.14,1,0,2013-01-15,64,112,13,95,38,14,0,3,6,0,4,5,0,0,0,0,0,0,0,24,2,1,272,13,0,681,1,-1.3054157704293659,0.34111815071706125
1045,1963,Basic,Divorced,57890.45,1,0,2012-08-13,30,315,20,259,45,6,17,5,4,2,8,1,0,0,0,0,0,0,0,52,2,1,662,19,0,836,3,1.0436181819386487,0.11691680443782516
1046,1985,Master,Widow,54949.51,0,1,2013-05-25,30,50,0,122,19,15,0,0,6,2,5,6,0,0,0,0,0,0,1,30,2,1,206,13,1,551,3,-0.03281439648621472,0.0654752539437904
1047,1964,PhD,Married,21320.25,0,0,2013-11-28,75,22,7,19,5,10,19,0,2,0,2,5,0,0,0,0,0,0,0,51,2,0,82,4,0,364,2,-2.12870479935089,-1.7185187098532273
1048,1959,Graduation,Widow,73770.39,1,0,2013-10-14,48,312,61,352,103,62,115,1,9,5,8,0,0,1,0,1,0,0,0,56,2,1,1005,23,2,409,0,2.539656737737505,0.39029054408352476
1049,1970,2n Cycle,Single,50876.95,0,2,2014-02-12,37,349,1,85,15,34,130,2,2,2,9,5,0,0,0,1,0,0,0,45,3,2,614,15,1,288,3,0.5494446249911774,-0.6733210501558824
1050,1987,Basic,Married,56478.42,1,1,2012-09-09,93,154,4,0,28,41,42,5,3,1,2,7,0,0,0,0,0,0,0,28,4,2,269,11,0,809,1,-1.9528811264582024,0.4281717454752483
1051,1999,Graduation,Married,51228.46,1,0,2013-01-21,27,11,20,79,16,19,62,5,5,2,0,9,0,1,0,0,0,0,0,16,3,1,207,12,1,675,1,-1.5212258216255639,1.6716674459809362
1052,1957,PhD,Together,56098.37,0,2,2014-09-21,48,73,55,210,66,33,111,2,3,3,9,5,0,0,0,0,1,0,0,58,4,2,548,17,1,67,3,0.6338734016923764,-0.41229366353067537
1053,1974,2n Cycle,Married,52976.3,1,1,2013-04-24,47,181,49,285,65,19,55,0,3,1,4,7,0,0,1,1,1,0,0,41,4,2,654,8,3,582,2,-0.36831672724978426,-0.613917687315191
1054,1986,2n Cycle,Single,60819.92,0,1,2013-07-16,55,108,18,128,18,5,5,4,6,0,2,8,0,0,0,0,0,0,0,29,2,1,282,12,0,499,1,-1.4739037628956848,1.3367701840913866
1055,1961,Graduation,Married,69140.91,0,1,2013-07-28,32,531,63,578,84,68,29,2,6,10,1,3,0,1,0,1,1,0,1,54,3,1,1353,19,4,487,0,2.3982491666318686,0.7408900254149412
1056,1958,PhD,Divorced,77138.34,1,0,2013-10-26,31,668,63,378,112,48,100,0,2,4,10,3,0,1,0,0,1,0,1,57,2,1,1369,16,3,397,0,2.7839991293205304,-1.0975108749833904
1057,1967,PhD,Divorced,58329.38,0,2,2012-11-16,16,253,27,169,24,35,30,5,3,0,7,0,0,0,0,0,0,0,0,48,3,2,538,15,0,741,3,0.7737046605562266,-0.29760008748672284
1058,1955,Graduation,Widow,61222.62,0,1,2013-11-16,59,250,8,248,52,37,54,4,4,0,4,4,1,0,0,1,0,0,1,60,2,1,649,12,3,376,3,-0.4380266887229111,0.1817288576275796
1059,1953,Master,Married,67702.72,0,2,2014-03-04,12,259,32,298,23,33,1,0,1,1,8,5,0,0,0,0,1,0,0,62,4,2,646,10,1,268,3,1.1129942906485433,-1.201383608990481
1060,1988,2n Cycle,Single,23677.27,2,1,2014-10-19,54,45,5,38,19,10,9,0,2,1,2,9,0,0,0,0,0,0,0,27,4,3,126,5,0,39,2,-2.114946020011014,-0.8887819120891111
1061,1966,Master,Widow,62168.36,0,1,2014-04-10,49,222,22,74,58,40,50,3,0,3,3,3,0,0,0,0,0,0,0,49,2,1,466,9,0,231,3,0.022202374537465253,-1.1459831270990797
1062,1956,Graduation,Married,86044.04,0,0,2014-03-02,5,723,78,667,109,18,54,2,4,4,10,4,1,0,0,1,0,0,0,59,2,0,1649,20,2,270,0,3.3468739624560904,0.3899300611801032
1063,1982,Graduation,Married,38175.19,1,0,2013-09-01,36,106,45,74,22,22,21,3,8,2,0,7,0,0,0,0,0,0,0,33,3,1,290,13,0,452,1,-1.3266295816949885,1.4661829401352644
1064,1966,Graduation,Widow,63141.23,1,0,2013-07-13,24,244,36,209,27,48,71,3,2,2,10,3,0,1,0,0,1,0,0,49,2,1,635,17,2,502,3,1.3046663728699635,-0.570934164313572
1065,1977,2n Cycle,Married,48033.79,0,0,2013-07-30,57,125,10,9,2,15,10,6,7,0,3,8,0,0,0,0,0,0,1,38,2,0,171,16,1,485,1,-1.8840675293523081,1.982739569717297
1066,1972,Graduation,Single,13625.6,0,1,2013-06-07,74,44,0,15,0,10,29,0,2,0,6,0,0,0,0,0,0,0,0,43,2,1,98,8,0,538,2,-1.0987621068845945,-2.6360041201248205
1067,1960,2n Cycle,Single,30284.59,0,1,2013-05-10,40,29,6,42,13,5,8,1,2,0,5,6,0,0,0,0,0,0,0,55,2,1,103,8,0,566,2,-1.2886005194652785,-1.0567206013755737
1068,1952,PhD,Together,40402.57,2,0,2014-07-22,63,37,0,46,9,0,33,1,3,0,0,4,0,0,0,0,0,0,0,63,4,2,125,4,0,128,2,-1.7065706540684442,-1.0977251131525934
1069,1988,Basic,Single,17068.38,0,0,2013-12-17,26,120,19,66,42,18,20,5,4,1,1,6,0,0,0,0,0,0,0,27,1,0,285,11,0,345,1,-1.8026485009371225,0.6283976581810753
1070,1982,Master,Single,20965.26,1,0,2012-05-31,65,28,11,47,7,12,3,0,2,0,5,9,0,0,0,0,0,0,0,33,2,1,108,7,0,910,2,-2.1283948528570864,-1.0538662711369486
1071,1984,Graduation,Married,89881.54,0,0,2013-02-04,41,429,76,152,58,27,102,2,6,2,11,2,1,1,1,0,0,0,0,31,2,0,844,21,3,661,0,2.2652665240995424,0.18545129945589953
1072,1989,PhD,Divorced,51234.45,0,1,2014-06-28,28,198,1,69,22,0,39,4,7,0,0,7,0,0,1,0,0,0,0,26,2,1,329,11,1,152,1,-1.3501689039499796,1.556801688623866
1073,1981,PhD,Married,30887.11,1,1,2014-02-03,58,133,12,16,36,14,28,6,6,0,4,6,0,0,0,1,0,0,0,34,4,2,239,16,1,297,1,-1.820219668813065,1.2546566719981809
1074,1970,Graduation,Divorced,53852.31,0,0,2013-08-05,54,295,21,160,37,3,35,1,2,3,8,3,0,0,0,0,0,0,0,45,1,0,551,14,0,479,3,0.7045478260155887,-1.300776867616098
1075,1977,Graduation,Single,42312.95,1,1,2013-09-22,76,221,46,82,16,7,21,3,9,2,4,3,1,0,0,0,0,0,0,38,3,2,393,18,1,431,1,-0.6329887764825525,0.8418854946123541
1076,1980,Master,Together,94197.36,0,0,2013-01-23,16,686,14,382,0,51,153,2,8,7,8,3,1,0,0,0,0,0,0,35,2,0,1286,25,1,673,0,3.492959089178231,1.3421774679428953
1077,1988,Graduation,Single,61132.9,0,0,2013-04-11,50,83,22,88,28,0,26,0,5,2,3,8,0,0,0,0,0,0,0,27,1,0,247,10,0,595,2,-0.6768162388271758,0.0941943980493677
1078,1983,Master,Together,39104.45,0,0,2013-11-22,27,60,37,103,22,0,27,3,8,0,0,6,0,0,0,0,0,0,0,32,2,0,249,11,0,370,1,-1.4236320097059183,1.28935515907982
1079,1998,Master,Married,51692.42,1,0,2013-08-20,58,102,0,85,21,1,28,6,4,2,4,9,0,0,0,0,0,0,1,17,3,1,237,16,1,464,1,-1.5119824107550122,1.4451011499837372
1080,1961,PhD,Divorced,69482.35,0,0,2014-05-07,16,539,75,559,82,66,83,3,8,6,6,6,1,0,0,1,0,0,0,54,1,0,1404,23,2,204,0,2.208393192199229,1.9147569273092724
1081,1979,Master,Divorced,60125.14,2,0,2013-06-29,13,116,4,130,21,24,30,4,11,0,2,7,0,0,0,0,0,0,0,36,3,2,325,17,0,516,1,-0.6163587043606027,2.7343228940102176
1082,1989,PhD,Single,41175.08,1,1,2013-05-25,56,0,7,20,34,6,59,5,3,0,3,4,1,0,0,0,0,0,0,26,3,2,126,11,1,551,2,-1.5474656008481407,-0.03468338304758686
1083,1963,Graduation,Single,32147.01,2,0,2014-01-13,52,53,13,11,0,5,3,2,3,1,3,6,0,0,0,0,0,0,0,52,3,2,85,9,0,318,2,-1.5713350514843676,-0.526040590430763
1084,1959,2n Cycle,Widow,36595.07,1,0,2013-11-17,82,55,0,45,18,5,12,0,2,0,2,2,0,0,0,0,0,0,0,56,2,1,135,4,0,375,2,-1.4634472996004293,-2.1157514335535175
1085,1952,Graduation,Married,54695.82,0,0,2014-01-01,41,183,62,210,0,46,63,3,2,2,6,4,0,0,0,0,0,0,0,63,2,0,564,13,0,330,3,0.20085255908866514,-0.5300918638483249
1086,1976,2n Cycle,Single,30155.63,0,1,2013-04-12,57,44,23,69,3,25,26,5,5,0,4,4,0,0,0,0,0,0,0,39,2,1,190,14,0,594,1,-1.5490870566092294,0.3953054572472091
1087,1995,PhD,Together,23082.22,0,1,2013-01-13,56,9,8,15,5,7,9,1,0,1,3,4,0,0,0,0,0,0,0,20,3,1,53,5,0,683,2,-1.5735729325634331,-2.0015527469425525
1088,1985,Graduation,Together,34318.2,0,1,2013-04-07,48,55,0,17,15,7,24,0,3,0,5,7,0,0,0,0,0,1,0,30,3,1,118,8,0,599,2,-1.3246380897998662,-0.9096124665446192
1089,1960,Master,Married,66757.6,0,1,2012-12-12,44,302,29,210,60,37,67,2,1,1,11,3,0,0,0,0,0,0,1,55,3,1,705,15,1,715,3,1.1907677507279857,-1.221865176352588
1090,1974,Basic,Single,39052.31,2,1,2014-11-09,78,40,8,86,17,17,0,0,3,0,3,7,0,0,1,0,0,0,0,41,4,3,168,6,1,18,2,-1.8360624229860174,-1.0101326558676946
1091,1948,Graduation,Single,28874.98,2,0,2014-10-15,99,31,14,31,3,0,27,1,1,2,3,5,0,0,0,0,0,0,0,67,3,2,106,7,0,43,2,-1.9286036704831933,-1.7396358111892776
1092,1962,Graduation,Married,79304.24,0,1,2012-10-29,59,654,40,452,4,108,125,2,6,5,8,2,0,1,0,0,1,0,0,53,3,1,1383,21,2,759,0,2.447992816178222,0.23807339817171466
1093,1974,Graduation,Divorced,28122.55,1,1,2014-04-13,22,20,0,28,0,15,17,2,1,2,4,4,0,0,0,0,0,0,0,41,3,2,80,9,0,228,2,-0.7484855229756269,-1.2123656984483686
1094,1991,Graduation,Together,40139.66,1,1,2014-11-02,69,62,33,77,35,10,12,4,9,0,3,9,0,0,0,0,0,0,0,24,4,2,229,16,0,25,1,-2.069993322789591,2.0186205631372256
1095,1985,Graduation,Together,42366.14,1,0,2014-05-24,38,87,24,62,9,19,1,5,8,1,0,9,0,0,0,0,0,0,0,30,3,1,202,14,0,187,1,-1.9457845335615918,2.290787400119885
1096,1958,Basic,Single,31500.75,0,0,2012-07-03,15,63,0,71,0,0,3,1,2,0,4,2,0,0,0,0,0,0,0,57,1,0,137,7,0,877,2,-0.48819825157994345,-1.5282276067806946
1097,1958,2n Cycle,Together,49404.43,1,2,2013-11-26,26,56,18,210,70,0,32,1,2,4,5,4,0,0,0,1,0,0,0,57,5,3,386,12,1,366,3,0.4927368565051506,-0.9634881588174956
1098,1968,2n Cycle,Married,108617.18,1,0,2012-12-12,33,589,81,526,50,43,166,0,5,3,11,2,0,1,1,0,0,0,0,47,3,1,1455,19,2,715,0,3.6536931970022373,-0.27002555443470916
1099,1971,Master,Divorced,45009.9,1,2,2012-09-24,44,410,27,85,88,26,74,3,3,3,7,5,0,0,0,0,0,0,0,44,4,3,710,16,0,794,3,0.2866821232717663,-0.15355279491449617
1100,1967,Master,Together,87039.36,1,0,2012-11-28,52,622,106,336,100,71,60,2,4,8,6,0,0,1,0,0,0,0,0,48,3,1,1295,20,1,729,0,3.07529327408057,-0.39505244960532304
1101,1978,Master,Married,40073.08,1,1,2014-10-02,42,118,41,90,23,22,15,4,6,1,6,5,0,0,0,0,0,0,1,37,4,2,309,17,1,56,1,-0.6365265914309743,0.7464609263432445
1102,1973,Basic,Divorced,32562.94,1,1,2013-04-18,14,5,12,1,6,16,13,2,1,1,6,5,0,0,0,0,0,0,1,42,3,2,53,10,1,588,3,-0.6226238065937023,-1.0362200213226953
1103,1977,2n Cycle,Single,52691.05,0,1,2013-01-21,45,119,19,80,23,14,41,2,6,2,1,7,1,0,0,0,0,0,0,38,2,1,296,11,1,675,1,-0.9900188888472875,0.7245613219090442
1104,1950,Master,Married,79359.43,1,2,2014-10-23,0,292,20,217,44,22,95,3,1,2,1,3,0,0,0,0,0,0,0,65,5,3,690,7,0,35,3,0.8682084880767689,-0.4283851539669871
1105,1962,Graduation,Divorced,65211.64,0,0,2014-01-21,14,218,39,138,0,14,37,4,4,2,7,2,0,0,1,0,0,0,0,53,1,0,446,17,1,310,3,1.0266888045671447,0.14024910665522725
1106,1984,Master,Widow,33959.94,0,0,2014-09-07,30,89,1,35,2,11,4,0,1,0,1,3,0,0,0,0,0,0,0,31,1,0,142,2,0,81,2,-1.0866204389506322,-1.9181518794204224
1107,1965,Master,Divorced,59234.22,0,1,2014-09-29,26,413,5,102,7,28,50,0,1,3,11,5,0,0,0,1,0,0,0,50,2,1,605,15,1,59,3,1.414170049101257,-1.331922706649843
1108,1978,Graduation,Married,111259.73,1,0,2013-02-14,9,613,67,381,113,39,85,0,8,9,11,2,0,0,0,0,1,1,1,37,3,1,1298,28,2,651,0,4.949642454611968,0.8522136612979775
1109,1982,Graduation,Married,39856.06,1,1,2014-11-16,35,30,7,124,29,10,33,6,9,0,5,8,0,0,0,0,0,0,0,33,4,2,233,20,0,11,1,-1.392222694067902,2.5545241899214783
1110,1988,Graduation,Divorced,28909.34,1,1,2013-07-17,13,187,12,86,0,20,43,7,2,0,3,7,0,0,0,0,0,0,0,27,3,2,348,12,0,498,1,-1.584476692479677,0.9122437578472232
1111,1958,PhD,Together,87629.54,0,1,2013-02-18,41,828,43,361,77,102,63,1,7,5,10,3,1,0,0,0,0,0,1,57,3,1,1474,23,2,647,0,3.1762754023917545,0.5555293601705118
1112,1965,Graduation,Married,42419.89,1,1,2013-11-12,26,138,27,187,28,17,68,2,2,3,7,3,0,0,1,0,0,0,0,50,4,2,465,14,1,380,3,0.560565274479293,-0.9633449688822496
1113,1955,Graduation,Divorced,67408.46,1,2,2012-07-27,34,295,43,194,36,48,0,0,3,2,5,4,0,0,0,1,0,0,0,60,4,3,616,10,1,853,3,0.7530567141570781,-0.8978718801470259
1114,1952,Basic,Together,24218.77,1,0,2013-07-04,52,2,5,10,10,14,5,1,0,0,2,7,0,0,0,0,0,0,0,63,3,1,46,3,0,511,2,-2.188477529360518,-1.5046725956427836
1115,1958,Graduation,Married,19576.04,1,1,2013-02-20,99,36,1,28,17,1,24,3,2,0,5,4,0,0,0,0,0,0,0,57,4,2,107,10,0,645,2,-2.2053021348883797,-1.278188759633329
1116,1974,PhD,Together,72774.91,0,0,2012-10-15,4,631,41,432,109,106,87,3,5,7,10,3,0,0,0,0,0,0,0,41,2,0,1406,25,0,773,0,3.424192600240641,0.7149715797915163
1117,1981,Graduation,Together,42645.46,0,0,2013-04-08,70,8,13,105,2,3,7,1,8,0,1,6,0,0,1,0,0,0,1,34,2,0,138,10,2,598,1,-1.7544377391742083,0.502750974237364
1118,1961,PhD,Married,52393.64,0,0,2014-09-19,44,188,37,227,42,26,65,1,3,0,6,6,1,0,0,0,0,0,0,54,2,0,585,10,1,69,3,-0.27198776284773635,-0.5726657419133522
1119,1974,PhD,Married,89963.62,0,1,2012-11-28,27,656,64,472,26,51,31,3,4,11,9,3,0,0,1,0,0,0,0,41,3,1,1300,27,1,729,0,3.872073214966997,0.5830850435623307
1120,1982,2n Cycle,Divorced,57512.12,2,1,2014-05-22,88,30,11,75,39,15,39,3,9,1,1,5,0,0,0,0,0,0,0,33,4,3,209,14,0,189,1,-1.4660841232297048,1.1904879640085502
1121,1975,Graduation,Married,54259.7,0,1,2014-10-18,44,321,17,40,62,46,64,3,5,2,10,4,0,0,0,0,0,0,0,40,3,1,550,20,0,40,3,0.7132132087100823,0.17675178328052635
1122,1975,Master,Together,66831.5,1,0,2013-07-08,16,801,50,627,47,51,155,2,6,7,9,5,0,1,0,1,1,0,0,40,3,1,1731,24,3,507,0,3.1731778363875787,0.9921955871338068
1123,1977,Basic,Married,24916.3,0,1,2013-06-22,24,10,0,34,18,7,16,0,1,0,1,2,0,0,0,0,0,0,0,38,3,1,85,2,0,523,2,-1.1138913088722389,-2.125904201903603
1124,1991,2n Cycle,Single,26035.66,2,0,2013-06-02,7,36,9,43,0,4,15,0,0,1,2,5,0,0,0,0,0,0,0,24,3,2,107,3,0,543,2,-0.9700406049272747,-1.7715838893660507
1125,1957,Master,Married,76471.38,1,1,2013-04-21,41,660,73,388,90,10,110,3,4,8,4,3,1,0,0,1,0,0,0,58,4,2,1331,19,2,585,0,2.3159103656567073,0.3714425175883684
1126,1961,2n Cycle,Married,52823.52,1,0,2014-06-21,53,520,36,244,0,30,24,2,4,0,11,6,0,0,0,0,0,0,0,54,3,1,854,17,0,159,3,0.4429407838252701,-0.11781514198989242
1127,1962,Basic,Married,24756.28,0,0,2014-09-09,34,56,6,19,0,0,25,2,1,0,1,3,0,0,0,0,0,0,1,53,2,0,106,4,1,79,2,-1.5280690930717826,-1.4905710434314963
1128,1956,Graduation,Married,29976.09,0,1,2013-03-17,8,0,7,61,0,15,0,0,1,0,0,3,0,0,0,0,0,0,0,59,3,1,83,1,0,620,2,-1.0514447839722065,-1.817294506956632
1129,1982,Basic,Single,44730.56,0,1,2012-12-27,45,215,0,16,5,35,15,5,8,0,4,8,0,0,0,0,0,0,0,33,2,1,286,17,0,700,1,-1.4452512271275488,2.030958704353074
