ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
1027,1959,Master,Married,57265.73,0,1,16-03-2013,5,210,24,34,62,25,83,0,3,2,9,7,0,0,0,1,0,0,0
1028,1952,Master,Single,66080.25,0,2,27-08-2013,6,344,44,207,47,17,64,2,4,2,10,4,0,0,0,0,0,0,0
1029,1990,Graduation,Together,30466.23,1,0,30-12-2013,28,84,18,86,23,42,16,5,4,1,5,9,0,0,0,0,0,0,1
1030,1958,PhD,Married,,0,0,12-03-2014,42,720,102,548,141,82,120,0,8,7,8,2,0,1,0,0,0,0,1
1031,1981,2n Cycle,Married,44379.58,1,0,26-07-2014,15,114,0,30,0,38,42,9,11,3,5,11,0,0,0,0,0,0,0
1032,1975,PhD,Married,50699.87,1,1,23-02-2013,0,157,26,11,7,11,36,3,7,1,0,8,0,0,0,0,0,0,0
1033,1991,Graduation,Together,35429.57,1,0,04-06-2012,57,167,11,9,24,13,33,5,7,1,5,6,0,0,0,0,0,0,0
1034,1988,Graduation,Divorced,46895.11,2,1,07-06-2014,46,45,6,4,13,33,46,5,4,1,4,6,0,0,0,0,0,0,0
1035,1978,2n Cycle,Widow,32837.16,1,1,08-08-2012,47,15,14,38,5,0,2,0,3,0,3,6,1,0,0,0,0,0,0
1036,1974,Master,Single,58328.02,1,2,07-07-2012,40,347,43,50,80,18,47,0,1,1,5,6,0,0,0,0,0,0,0
1037,1981,Master,Single,48919.14,2,1,13-12-2012,52,92,21,169,30,0,10,7,7,3,3,6,0,0,1,1,0,0,0
1038,1962,2n Cycle,Single,66874.01,1,1,31-10-2012,36,377,49,136,24,10,52,0,1,4,6,3,0,0,0,0,0,0,1
1039,1981,PhD,Married,28548.56,2,1,05-01-2013,30,62,11,15,16,21,26,1,4,2,1,8,0,0,0,0,0,0,1
1040,1985,Graduation,Together,29733.74,0,0,24-07-2014,22,115,16,124,10,15,20,6,3,1,3,7,0,0,0,0,0,0,1
1041,1970,Basic,Divorced,56328.56,0,1,30-03-2014,42,146,48,95,16,18,8,7,10,1,1,6,0,0,1,0,0,0,0
1042,1953,PhD,Married,38326.02,1,1,22-07-2014,0,315,10,122,95,20,39,4,2,0,10,4,0,0,0,0,0,0,0
1043,1981,2n Cycle,Together,40423.65,1,0,26-05-2012,51,68,14,0,14,42,32,4,5,1,2,10,1,0,0,0,0,0,0
1044,1991,2n Cycle,Widow,40013.14,1,0,15-01-2013,64,112,13,95,38,14,0,3,6,0,4,5,0,0,0,0,0,0,0
1045,1963,Basic,Divorced,57890.45,1,0,13-08-2012,30,315,20,259,45,6,17,5,4,2,8,1,0,0,0,0,0,0,0
1046,1985,Master,Widow,54949.51,0,1,25-05-2013,30,50,0,122,19,15,0,0,6,2,5,6,0,0,0,0,0,0,1
1047,1964,PhD,Married,21320.25,0,0,28-11-2013,75,22,7,19,5,10,19,0,2,0,2,5,0,0,0,0,0,0,0
1048,1959,Graduation,Widow,73770.39,1,0,14-10-2013,48,312,61,352,103,62,115,1,9,5,8,0,0,1,0,1,0,0,0
1049,1970,2n Cycle,Single,50876.95,0,2,12-02-2014,37,349,1,85,15,34,130,2,2,2,9,5,0,0,0,1,0,0,0
1050,1987,Basic,Married,56478.42,1,1,09-09-2012,93,154,4,0,28,41,42,5,3,1,2,7,0,0,0,0,0,0,0
1051,1999,Graduation,Married,51228.46,1,0,21-01-2013,27,11,20,79,16,19,62,5,5,2,0,9,0,1,0,0,0,0,0
1052,1957,PhD,Together,56098.37,0,2,21-09-2014,48,73,55,210,66,33,111,2,3,3,9,5,0,0,0,0,1,0,0
1053,1974,2n Cycle,Married,52976.3,1,1,24-04-2013,47,181,49,285,65,19,55,0,3,1,4,7,0,0,1,1,1,0,0
1054,1986,2n Cycle,Single,60819.92,0,1,16-07-2013,55,108,18,128,18,5,5,4,6,0,2,8,0,0,0,0,0,0,0
1055,1961,Graduation,Married,69140.91,0,1,28-07-2013,32,531,63,578,84,68,29,2,6,10,1,3,0,1,0,1,1,0,1
1056,1958,PhD,Divorced,77138.34,1,0,26-10-2013,31,668,63,378,112,48,100,0,2,4,10,3,0,1,0,0,1,0,1
1057,1967,PhD,Divorced,58329.38,0,2,16-11-2012,16,253,27,169,24,35,30,5,3,0,7,0,0,0,0,0,0,0,0
1058,1955,Graduation,Widow,61222.62,0,1,16-11-2013,59,250,8,248,52,37,54,4,4,0,4,4,1,0,0,1,0,0,1
1059,1953,Master,Married,67702.72,0,2,04-03-2014,12,259,32,298,23,33,1,0,1,1,8,5,0,0,0,0,1,0,0
1060,1988,2n Cycle,Single,23677.27,2,1,19-10-2014,54,45,5,38,19,10,9,0,2,1,2,9,0,0,0,0,0,0,0
1061,1966,Master,Widow,62168.36,0,1,10-04-2014,49,222,22,74,58,40,50,3,0,3,3,3,0,0,0,0,0,0,0
1062,1956,Graduation,Married,86044.04,0,0,02-03-2014,5,723,78,667,109,18,54,2,4,4,10,4,1,0,0,1,0,0,0
1063,1982,Graduation,Married,38175.19,1,0,01-09-2013,36,106,45,74,22,22,21,3,8,2,0,7,0,0,0,0,0,0,0
1064,1966,Graduation,Widow,63141.23,1,0,13-07-2013,24,244,36,209,27,48,71,3,2,2,10,3,0,1,0,0,1,0,0
1065,1977,2n Cycle,Married,48033.79,0,0,30-07-2013,57,125,10,9,2,15,10,6,7,0,3,8,0,0,0,0,0,0,1
1066,1972,Graduation,Single,13625.6,0,1,07-06-2013,74,44,0,15,0,10,29,0,2,0,6,0,0,0,0,0,0,0,0
1067,1960,2n Cycle,Single,30284.59,0,1,10-05-2013,40,29,6,42,13,5,8,1,2,0,5,6,0,0,0,0,0,0,0
1068,1952,PhD,Together,40402.57,2,0,22-07-2014,63,37,0,46,9,0,33,1,3,0,0,4,0,0,0,0,0,0,0
1069,1988,Basic,Single,17068.38,0,0,17-12-2013,26,120,19,66,42,18,20,5,4,1,1,6,0,0,0,0,0,0,0
1070,1982,Master,Single,20965.26,1,0,31-05-2012,65,28,11,47,7,12,3,0,2,0,5,9,0,0,0,0,0,0,0
1071,1984,Graduation,Married,89881.54,0,0,04-02-2013,41,429,76,152,58,27,102,2,6,2,11,2,1,1,1,0,0,0,0
1072,1989,PhD,Divorced,51234.45,0,1,28-06-2014,28,198,1,69,22,0,39,4,7,0,0,7,0,0,1,0,0,0,0
1073,1981,PhD,Married,30887.11,1,1,03-02-2014,58,133,12,16,36,14,28,6,6,0,4,6,0,0,0,1,0,0,0
1074,1970,Graduation,Divorced,53852.31,0,0,05-08-2013,54,295,21,160,37,3,35,1,2,3,8,3,0,0,0,0,0,0,0
1075,1977,Graduation,Single,42312.95,1,1,22-09-2013,76,221,46,82,16,7,21,3,9,2,4,3,1,0,0,0,0,0,0
1076,1980,Master,Together,94197.36,0,0,23-01-2013,16,686,14,382,0,51,153,2,8,7,8,3,1,0,0,0,0,0,0
1077,1988,Graduation,Single,61132.9,0,0,11-04-2013,50,83,22,88,28,0,26,0,5,2,3,8,0,0,0,0,0,0,0
1078,1983,Master,Together,39104.45,0,0,22-11-2013,27,60,37,103,22,0,27,3,8,0,0,6,0,0,0,0,0,0,0
1079,1998,Master,Married,51692.42,1,0,20-08-2013,58,102,0,85,21,1,28,6,4,2,4,9,0,0,0,0,0,0,1
1080,1961,PhD,Divorced,69482.35,0,0,07-05-2014,16,539,75,559,82,66,83,3,8,6,6,6,1,0,0,1,0,0,0
1081,1979,Master,Divorced,60125.14,2,0,29-06-2013,13,116,4,130,21,24,30,4,11,0,2,7,0,0,0,0,0,0,0
1082,1989,PhD,Single,41175.08,1,1,25-05-2013,56,0,7,20,34,6,59,5,3,0,3,4,1,0,0,0,0,0,0
1083,1963,Graduation,Single,32147.01,2,0,13-01-2014,52,53,13,11,0,5,3,2,3,1,3,6,0,0,0,0,0,0,0
1084,1959,2n Cycle,Widow,36595.07,1,0,17-11-2013,82,55,0,45,18,5,12,0,2,0,2,2,0,0,0,0,0,0,0
1085,1952,Graduation,Married,54695.82,0,0,01-01-2014,41,183,62,210,0,46,63,3,2,2,6,4,0,0,0,0,0,0,0
1086,1976,2n Cycle,Single,30155.63,0,1,12-04-2013,57,44,23,69,3,25,26,5,5,0,4,4,0,0,0,0,0,0,0
1087,1995,PhD,Together,23082.22,0,1,13-01-2013,56,9,8,15,5,7,9,1,0,1,3,4,0,0,0,0,0,0,0
1088,1985,Graduation,Together,34318.2,0,1,07-04-2013,48,55,0,17,15,7,24,0,3,0,5,7,0,0,0,0,0,1,0
1089,1960,Master,Married,66757.6,0,1,12-12-2012,44,302,29,210,60,37,67,2,1,1,11,3,0,0,0,0,0,0,1
1090,1974,Basic,Single,39052.31,2,1,09-11-2014,78,40,8,86,17,17,0,0,3,0,3,7,0,0,1,0,0,0,0
1091,1948,Graduation,Single,28874.98,2,0,15-10-2014,99,31,14,31,3,0,27,1,1,2,3,5,0,0,0,0,0,0,0
1092,1962,Graduation,Married,79304.24,0,1,29-10-2012,59,654,40,452,4,108,125,2,6,5,8,2,0,1,0,0,1,0,0
1093,1974,Graduation,Divorced,28122.55,1,1,13-04-2014,22,20,0,28,0,15,17,2,1,2,4,4,0,0,0,0,0,0,0
1094,1991,Graduation,Together,40139.66,1,1,02-11-2014,69,62,33,77,35,10,12,4,9,0,3,9,0,0,0,0,0,0,0
1095,1985,Graduation,Together,42366.14,1,0,24-05-2014,38,87,24,62,9,19,1,5,8,1,0,9,0,0,0,0,0,0,0
1096,1958,Basic,Single,31500.75,0,0,03-07-2012,15,63,0,71,0,0,3,1,2,0,4,2,0,0,0,0,0,0,0
1097,1958,2n Cycle,Together,49404.43,1,2,26-11-2013,26,56,18,210,70,0,32,1,2,4,5,4,0,0,0,1,0,0,0
1098,1968,2n Cycle,Married,108617.18,1,0,12-12-2012,33,589,81,526,50,43,166,0,5,3,11,2,0,1,1,0,0,0,0
1099,1971,Master,Divorced,45009.9,1,2,24-09-2012,44,410,27,85,88,26,74,3,3,3,7,5,0,0,0,0,0,0,0
1100,1967,Master,Together,87039.36,1,0,28-11-2012,52,622,106,336,100,71,60,2,4,8,6,0,0,1,0,0,0,0,0
1101,1978,Master,Married,40073.08,1,1,02-10-2014,42,118,41,90,23,22,15,4,6,1,6,5,0,0,0,0,0,0,1
1102,1973,Basic,Divorced,32562.94,1,1,18-04-2013,14,5,12,1,6,16,13,2,1,1,6,5,0,0,0,0,0,0,1
1103,1977,2n Cycle,Single,52691.05,0,1,21-01-2013,45,119,19,80,23,14,41,2,6,2,1,7,1,0,0,0,0,0,0
1104,1950,Master,Married,79359.43,1,2,23-10-2014,0,292,20,217,44,22,95,3,1,2,1,3,0,0,0,0,0,0,0
1105,1962,Graduation,Divorced,65211.64,0,0,21-01-2014,14,218,39,138,0,14,37,4,4,2,7,2,0,0,1,0,0,0,0
1106,1984,Master,Widow,33959.94,0,0,07-09-2014,30,89,1,35,2,11,4,0,1,0,1,3,0,0,0,0,0,0,0
1107,1965,Master,Divorced,59234.22,0,1,29-09-2014,26,413,5,102,7,28,50,0,1,3,11,5,0,0,0,1,0,0,0
1108,1978,Graduation,Married,111259.73,1,0,14-02-2013,9,613,67,381,113,39,85,0,8,9,11,2,0,0,0,0,1,1,1
1109,1982,Graduation,Married,39856.06,1,1,16-11-2014,35,30,7,124,29,10,33,6,9,0,5,8,0,0,0,0,0,0,0
1110,1988,Graduation,Divorced,28909.34,1,1,17-07-2013,13,187,12,86,0,20,43,7,2,0,3,7,0,0,0,0,0,0,0
1111,1958,PhD,Together,87629.54,0,1,18-02-2013,41,828,43,361,77,102,63,1,7,5,10,3,1,0,0,0,0,0,1
1112,1965,Graduation,Married,42419.89,1,1,12-11-2013,26,138,27,187,28,17,68,2,2,3,7,3,0,0,1,0,0,0,0
1113,1955,Graduation,Divorced,67408.46,1,2,27-07-2012,34,295,43,194,36,48,0,0,3,2,5,4,0,0,0,1,0,0,0
1114,1952,Basic,Together,24218.77,1,0,04-07-2013,52,2,5,10,10,14,5,1,0,0,2,7,0,0,0,0,0,0,0
1115,1958,Graduation,Married,19576.04,1,1,20-02-2013,99,36,1,28,17,1,24,3,2,0,5,4,0,0,0,0,0,0,0
1116,1974,PhD,Together,72774.91,0,0,15-10-2012,4,631,41,432,109,106,87,3,5,7,10,3,0,0,0,0,0,0,0
1117,1981,Graduation,Together,42645.46,0,0,08-04-2013,70,8,13,105,2,3,7,1,8,0,1,6,0,0,1,0,0,0,1
1118,1961,PhD,Married,52393.64,0,0,19-09-2014,44,188,37,227,42,26,65,1,3,0,6,6,1,0,0,0,0,0,0
1119,1974,PhD,Married,89963.62,0,1,28-11-2012,27,656,64,472,26,51,31,3,4,11,9,3,0,0,1,0,0,0,0
1120,1982,2n Cycle,Divorced,57512.12,2,1,22-05-2014,88,30,11,75,39,15,39,3,9,1,1,5,0,0,0,0,0,0,0
1121,1975,Graduation,Married,54259.7,0,1,18-10-2014,44,321,17,40,62,46,64,3,5,2,10,4,0,0,0,0,0,0,0
1122,1975,Master,Together,66831.5,1,0,08-07-2013,16,801,50,627,47,51,155,2,6,7,9,5,0,1,0,1,1,0,0
1123,1977,Basic,Married,24916.3,0,1,22-06-2013,24,10,0,34,18,7,16,0,1,0,1,2,0,0,0,0,0,0,0
1124,1991,2n Cycle,Single,26035.66,2,0,02-06-2013,7,36,9,43,0,4,15,0,0,1,2,5,0,0,0,0,0,0,0
1125,1957,Master,Married,76471.38,1,1,21-04-2013,41,660,73,388,90,10,110,3,4,8,4,3,1,0,0,1,0,0,0
1126,1961,2n Cycle,Married,52823.52,1,0,21-06-2014,53,520,36,244,0,30,24,2,4,0,11,6,0,0,0,0,0,0,0
1127,1962,Basic,Married,24756.28,0,0,09-09-2014,34,56,6,19,0,0,25,2,1,0,1,3,0,0,0,0,0,0,1
1128,1956,Graduation,Married,29976.09,0,1,17-03-2013,8,0,7,61,0,15,0,0,1,0,0,3,0,0,0,0,0,0,0
1129,1982,Basic,Single,44730.56,0,1,27-12-2012,45,215,0,16,5,35,15,5,8,0,4,8,0,0,0,0,0,0,0
1130,1961,Master,Married,89262.67,0,0,27-10-2014,32,585,86,569,38,72,102,1,5,9,8,2,0,1,1,0,0,0,1
1131,1972,Basic,Married,35702.52,2,0,21-11-2014,93,1,0,35,4,7,12,1,2,1,0,5,0,0,0,0,0,0,0
1132,1977,2n Cycle,Divorced,22716.63,1,1,06-12-2012,13,68,10,29,0,10,11,0,1,1,1,6,0,0,0,0,0,0,0
1133,1971,PhD,Married,87788.2,0,0,18-09-2013,26,701,82,599,83,72,49,1,6,4,3,3,0,0,0,0,0,0,0
1134,1986,2n Cycle,Together,37490.84,1,0,19-07-2014,55,127,4,54,11,24,37,7,6,0,1,6,0,0,0,0,0,0,1
1135,1967,Master,Single,56369.6,0,1,08-08-2014,61,381,32,159,41,32,79,3,3,2,6,6,0,0,0,0,0,0,0
1136,1987,2n Cycle,Divorced,36424.09,1,0,15-11-2014,81,52,0,38,14,3,0,2,1,0,2,3,0,0,0,0,0,0,0
1137,1963,Graduation,Together,84023.73,0,0,17-01-2014,40,551,36,459,132,54,78,3,6,9,7,5,0,0,0,0,0,0,0
1138,1935,Master,Together,43373.48,0,2,06-07-2013,31,258,61,199,20,43,66,0,2,4,9,2,0,0,0,0,0,0,1
1139,1970,Graduation,Divorced,13937.7,0,1,08-04-2013,43,71,6,73,7,1,13,2,3,0,0,5,0,0,0,0,0,0,0
1140,1957,Graduation,Married,60703.37,0,2,03-11-2013,71,180,15,203,11,30,30,1,3,1,6,5,0,0,1,1,0,0,0
1141,1968,PhD,Divorced,73274.4,0,1,17-11-2014,11,720,75,391,78,98,81,0,0,7,8,3,0,0,0,0,0,0,1
1142,1968,PhD,Married,71169.64,0,0,14-06-2012,9,641,65,397,83,53,133,2,9,10,8,1,1,0,0,0,0,0,0
1143,1991,Master,Divorced,32207.57,1,0,06-07-2014,14,50,25,0,34,13,12,7,3,2,3,7,0,0,1,0,0,0,0
1144,1974,Graduation,Divorced,25573.75,1,1,02-09-2014,46,58,7,60,12,11,19,0,1,0,1,4,0,0,0,0,0,0,0
1145,1959,Master,Married,85937.34,0,0,20-10-2012,2,532,67,433,139,61,85,3,2,4,5,5,0,0,0,1,0,0,1
1146,1964,PhD,Married,86854.62,0,0,24-10-2014,45,502,70,252,125,77,148,2,5,3,9,5,0,0,0,0,0,0,1
1147,1998,Graduation,Single,51435.76,2,0,07-12-2013,28,114,31,143,46,21,29,3,8,0,1,9,0,0,0,0,0,0,0
1148,1969,PhD,Single,81611.82,1,0,10-10-2013,34,654,69,453,94,87,137,0,3,9,11,3,0,0,0,0,0,0,1
1149,1963,Master,Single,68123.61,0,0,18-03-2014,9,560,5,313,104,68,143,3,5,10,5,1,1,0,0,0,0,0,1
1150,1966,Graduation,Married,65855.39,0,0,27-04-2014,23,596,49,618,77,16,128,0,6,6,11,4,0,1,0,0,0,0,0
1151,1970,Master,Married,55156.54,1,1,18-01-2014,41,236,54,189,65,31,93,0,1,1,10,7,0,0,0,0,0,0,0
1152,1975,PhD,Married,64221.86,0,2,21-03-2014,26,344,15,136,62,4,74,2,3,3,4,5,0,0,0,0,0,0,0
1153,1994,Graduation,Single,36593.8,2,1,16-12-2013,18,75,9,50,4,17,39,8,5,2,0,8,0,0,0,0,0,0,1
1154,1966,Master,Together,74499.86,1,0,23-02-2014,0,708,31,405,133,54,139,1,4,7,11,3,0,1,1,0,0,0,1
1155,1977,Master,Single,49787.54,0,1,21-03-2013,36,31,4,83,6,31,18,12,6,0,0,9,0,0,1,0,0,0,0
1156,1974,2n Cycle,Married,54399.08,1,0,20-01-2013,24,276,49,204,66,11,41,4,1,1,7,5,0,0,0,0,0,0,0
1157,1980,2n Cycle,Single,37156.23,1,0,26-12-2013,45,31,10,77,14,12,10,1,0,0,0,6,0,0,0,1,0,0,0
1158,1970,Graduation,Single,17289.01,1,1,30-04-2013,45,51,0,5,14,0,16,1,3,0,5,7,0,0,0,0,0,0,0
1159,1988,Graduation,Married,33648.79,0,0,04-11-2012,46,101,2,23,34,23,32,3,5,0,0,6,0,0,0,0,0,1,0
1160,1964,PhD,Married,95624.54,0,1,18-05-2013,13,809,60,599,112,39,32,3,8,6,8,2,0,0,0,1,1,0,0
1161,1981,2n Cycle,Single,29842.03,0,0,08-07-2014,50,92,9,26,14,0,20,1,2,1,0,4,0,0,0,0,0,0,0
1162,1987,Master,Single,29121.23,1,1,08-06-2014,38,42,7,30,5,14,37,2,0,1,0,6,0,0,0,1,1,0,0
1163,1983,PhD,Married,47759.0,1,0,03-02-2014,11,133,4,60,5,37,24,9,5,0,5,6,0,0,0,0,0,0,0
1164,1971,Graduation,Divorced,32730.1,0,1,06-09-2014,53,29,4,0,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0
1165,1979,2n Cycle,Divorced,39464.86,0,0,26-11-2013,54,0,8,56,13,8,4,3,3,0,4,6,0,0,0,0,0,0,0
1166,1962,2n Cycle,Married,74106.97,0,2,22-09-2014,38,334,26,246,55,9,27,2,3,5,10,4,0,0,0,0,0,0,0
1167,1970,Basic,Together,36166.3,1,0,10-09-2014,34,104,4,26,9,3,16,1,4,1,3,6,0,0,0,0,0,0,0
1168,1961,PhD,Single,88769.63,1,0,08-10-2012,4,220,52,583,48,54,155,2,7,6,9,1,1,0,0,0,1,0,1
1169,1984,Graduation,Married,24094.45,1,0,20-06-2014,35,209,12,118,18,23,15,5,7,1,4,8,0,0,0,0,0,0,0
1170,1993,2n Cycle,Single,34356.28,0,0,16-07-2013,18,88,16,114,31,6,24,7,5,0,3,8,0,0,0,0,0,0,0
1171,1947,PhD,Together,88651.89,1,0,25-09-2013,31,632,65,297,124,85,125,0,8,6,9,6,0,0,0,0,0,0,1
1172,1990,Graduation,Widow,32565.1,1,0,27-06-2014,61,0,4,20,10,10,11,0,0,0,3,5,0,0,0,0,0,0,0
1173,1959,2n Cycle,Married,99181.09,0,0,16-12-2012,21,669,90,448,97,64,33,0,4,5,9,4,0,1,1,1,0,0,1
1174,1965,Master,Married,49071.69,0,1,03-06-2013,16,481,33,183,64,26,48,4,0,3,10,4,1,0,0,0,0,0,0
1175,1975,2n Cycle,Divorced,75184.51,0,0,09-10-2012,49,899,45,403,0,92,60,3,8,3,6,4,0,0,0,1,0,0,0
1176,1985,2n Cycle,Married,61148.84,0,0,22-10-2014,53,148,17,182,4,5,0,4,9,1,5,4,0,0,0,1,0,0,1
1177,1977,Graduation,Together,43842.54,2,1,20-09-2014,31,32,7,54,13,13,38,2,9,0,1,4,0,0,0,1,0,0,0
1178,1979,Graduation,Divorced,93902.87,0,0,23-04-2013,31,941,89,332,76,85,69,0,2,10,9,3,1,0,0,1,1,0,1
1179,1959,Master,Married,39920.73,1,0,14-11-2012,49,342,37,117,3,18,78,0,4,0,4,4,0,0,0,0,0,0,0
1180,1966,PhD,Together,61454.56,0,1,10-07-2014,32,252,11,108,23,30,63,1,4,2,9,2,0,0,0,0,0,0,0
1181,1991,Graduation,Married,57101.76,0,0,01-08-2013,56,30,13,122,16,9,51,2,3,0,4,8,0,0,0,0,0,0,0
1182,1953,Graduation,Divorced,53670.04,1,0,20-05-2014,23,156,29,238,7,30,47,1,4,2,7,7,1,0,0,0,0,0,0
1183,1976,Master,Single,80597.97,0,1,29-01-2014,23,527,57,342,90,63,96,2,9,7,8,4,0,0,0,0,0,0,0
1184,1986,Graduation,Together,74771.47,0,0,28-01-2013,25,581,57,476,157,100,111,0,3,4,5,3,0,1,0,1,0,0,0
1185,1971,2n Cycle,Divorced,42352.45,1,1,11-04-2013,72,100,23,75,15,21,36,3,8,0,3,2,0,0,1,0,0,0,0
1186,1990,Basic,Together,42980.95,1,1,10-03-2013,53,217,4,74,4,14,18,7,7,0,4,6,1,0,0,1,0,0,0
1187,1975,Graduation,Widow,86399.34,0,1,22-06-2012,3,707,80,570,49,86,56,2,4,10,4,4,0,0,0,0,1,0,1
1188,1975,Graduation,Widow,36366.72,0,0,01-03-2014,65,2,2,60,0,8,14,2,3,2,0,4,0,0,0,0,0,0,0
1189,1982,PhD,Married,37511.16,0,0,28-04-2014,59,61,0,32,20,0,29,1,2,0,2,2,0,1,0,0,0,0,0
1190,1957,Graduation,Divorced,94323.12,0,1,08-10-2014,11,715,59,404,88,57,149,0,4,7,7,4,0,0,0,0,1,0,1
1191,2000,Graduation,Together,48880.25,0,1,11-04-2014,29,175,7,116,27,17,29,6,6,1,1,6,1,1,1,0,1,0,0
1192,1987,Graduation,Divorced,40623.3,1,1,21-08-2014,26,98,0,0,9,17,43,4,6,2,5,7,0,0,0,0,0,0,0
1193,1975,Graduation,Single,34112.58,1,0,02-02-2013,99,86,1,107,0,16,0,7,8,0,2,8,0,0,0,0,0,0,0
1194,2000,PhD,Married,52642.47,1,1,01-09-2012,57,126,0,3,30,8,26,6,2,0,4,6,0,0,0,1,0,0,0
1195,1969,2n Cycle,Divorced,50671.86,0,0,03-07-2013,43,321,32,120,41,40,56,2,3,3,9,7,0,1,0,1,0,0,0
1196,1980,2n Cycle,Together,32793.4,0,0,24-06-2013,74,45,0,75,7,1,15,2,0,0,4,4,0,0,1,0,0,0,0
1197,1987,Master,Single,45139.73,0,0,05-09-2014,79,115,10,155,21,24,19,6,9,0,4,6,0,0,0,0,0,0,0
1198,1957,PhD,Married,61249.19,1,2,18-12-2013,54,260,24,196,25,19,50,2,0,1,9,0,0,0,0,0,0,0,0
